,ts,label
0,17569,0
1,16738,0
2,16612,0
3,15702,0
4,14817,0
5,14668,0
6,14458,0
7,15475,0
8,15539,0
9,15345,0
10,15222,0
11,15213,0
12,16167,0
13,16210,0
14,16393,0
15,14797,0
16,13755,0
17,13960,0
18,16248,0
19,18272,0
20,20440,0
21,21524,0
22,21828,0
23,22825,0
24,22647,0
25,22210,0
26,22426,0
27,20839,0
28,20239,0
29,18144,0
30,15459,0
31,13766,0
32,11187,0
33,8959,0
34,7101,0
35,4710,0
36,3571,0
37,2765,0
38,2101,0
39,1867,0
40,2126,0
41,2082,0
42,2393,0
43,4443,0
44,7297,0
45,12466,0
46,15547,0
47,18160,0
48,18295,0
49,17794,0
50,16541,0
51,16239,0
52,15239,0
53,15153,0
54,14168,0
55,14872,0
56,15293,0
57,14971,0
58,14359,0
59,14486,0
60,14471,0
61,14920,0
62,14411,0
63,13573,0
64,11876,0
65,11040,0
66,13441,0
67,16163,0
68,19059,0
69,19621,0
70,21616,0
71,23427,0
72,23735,0
73,23354,0
74,23391,0
75,23228,0
76,21882,0
77,21221,0
78,18922,0
79,15473,0
80,12457,0
81,9497,0
82,7073,0
83,5496,0
84,4477,0
85,3527,0
86,2971,0
87,2660,0
88,2497,0
89,2250,0
90,2594,0
91,4316,0
92,7112,0
93,12119,0
94,15652,0
95,18565,0
96,18437,0
97,17831,0
98,17103,0
99,16446,0
100,15593,0
101,15353,0
102,15105,0
103,16058,0
104,16475,0
105,16226,0
106,15766,0
107,16242,0
108,16976,0
109,17117,0
110,16910,0
111,14845,0
112,12840,0
113,12913,0
114,15736,0
115,18396,0
116,21170,0
117,21255,0
118,22014,0
119,22334,0
120,21426,0
121,21152,0
122,22304,0
123,22947,0
124,22195,0
125,21592,0
126,18884,0
127,15885,0
128,12556,0
129,10023,0
130,7320,0
131,6007,0
132,4886,0
133,4068,0
134,3170,0
135,2671,0
136,2844,0
137,2430,0
138,2534,0
139,4193,0
140,6274,0
141,11614,0
142,14471,0
143,17184,0
144,18428,0
145,18257,0
146,17375,0
147,18079,0
148,17902,0
149,17934,0
150,16311,0
151,16460,0
152,17383,0
153,16931,0
154,17236,0
155,17120,0
156,16635,0
157,16048,0
158,15553,0
159,14421,0
160,13456,0
161,12820,0
162,16109,0
163,19198,0
164,21302,0
165,22657,0
166,23276,0
167,23723,0
168,23021,0
169,21823,0
170,21666,0
171,22491,0
172,22004,0
173,23595,0
174,22090,0
175,20296,0
176,16288,0
177,13049,0
178,10504,0
179,8423,0
180,7090,0
181,5920,0
182,4849,0
183,4102,0
184,4093,0
185,3162,0
186,2939,0
