,ts,label
0,0.3754,0.0
1,0.2894,0.0
2,0.3614,0.0
3,0.2687,0.0
4,0.3127,0.0
5,0.259,0.0
6,0.2915,0.0
7,0.3293,0.0
8,0.349,0.0
9,0.3187,0.0
10,0.3225,0.0
11,0.2927,0.0
12,0.2862,0.0
13,0.2824,0.0
14,0.3024,0.0
15,0.2823,0.0
16,0.329,0.0
17,0.3053,0.0
18,0.3967,0.0
19,0.3224,0.0
20,0.315,0.0
21,0.3009,0.0
22,0.3551,0.0
23,0.4226,0.0
24,0.3265,0.0
25,0.3068,0.0
26,0.322,0.0
27,0.2964,0.0
28,0.2899,0.0
29,0.3266,0.0
30,0.3136,0.0
31,0.303,0.0
32,0.3279,0.0
33,0.3115,0.0
34,0.3172,0.0
35,0.3012,0.0
36,0.3001,0.0
37,0.301,0.0
38,0.2961,0.0
39,0.3367,0.0
40,0.308,0.0
41,0.2796,0.0
42,0.3181,0.0
43,0.3229,0.0
44,0.2969,0.0
45,0.2959,0.0
46,0.2861,0.0
47,0.2788,0.0
48,0.2778,0.0
49,0.2892,0.0
50,0.2602,0.0
51,0.271,0.0
52,0.2815,0.0
53,0.3266,0.0
54,0.3106,0.0
55,0.3182,0.0
56,0.3154,1.0
57,0.3137,1.0
58,0.3076,1.0
59,0.2901,1.0
60,0.1187,1.0
61,0.1206,1.0
62,0.1059,1.0
63,0.0967,1.0
64,0.0515,1.0
65,0.1201,0.0
66,0.0856,0.0
67,0.1007,0.0
68,0.0872,0.0
69,0.0889,0.0
70,0.0985,0.0
71,0.0951,0.0
72,0.136,0.0
73,0.1182,0.0
74,0.1202,0.0
75,0.1559,0.0
76,0.1388,0.0
77,0.2043,0.0
78,0.188,0.0
79,0.2022,0.0
80,0.167,0.0
81,0.1547,0.0
82,0.1666,0.0
83,0.156,0.0
84,0.1489,0.0
85,0.1569,0.0
86,0.1548,0.0
87,0.1939,0.0
88,0.1883,0.0
89,0.1944,0.0
90,0.2281,0.0
91,0.2151,0.0
92,0.2158,0.0
93,0.1965,0.0
94,0.2193,0.0
95,0.2205,0.0
96,0.2383,0.0
97,0.2257,0.0
98,0.1928,0.0
99,0.1907,0.0
100,0.1939,0.0
101,0.1949,0.0
102,0.177,0.0
103,0.174,0.0
104,0.1841,0.0
105,0.1647,0.0
106,0.1623,0.0
107,0.182,0.0
108,0.1588,0.0
109,0.1606,0.0
110,0.214,0.0
111,0.2028,0.0
112,0.2254,0.0
113,0.2366,0.0
114,0.2147,0.0
115,0.2175,0.0
116,0.2634,0.0
117,0.2214,0.0
118,0.2081,0.0
119,0.285,0.0
120,0.2324,0.0
121,0.2642,0.0
122,0.2792,0.0
123,0.2931,0.0
124,0.2733,0.0
125,0.2517,0.0
126,0.3078,0.0
127,0.2305,0.0
128,0.2237,0.0
129,0.2235,0.0
130,0.2299,0.0
131,0.2241,0.0
132,0.2685,0.0
133,0.2836,0.0
134,0.3108,0.0
135,0.3145,0.0
136,0.2783,0.0
137,0.3098,0.0
